"contrast","Group","day","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value"
"blue - green","A","1",777.968786668023,349.104049440264,200,89.5718299214604,1466.36574341458,2.22847253681353,0.0269624553904234
"blue - yellow","A","1",-241.252443281818,189.506572292367,200,-614.939737538943,132.434850975308,-1.27305581206766,0.204476010751149
"green - yellow","A","1",-1019.22122994984,417.719027378453,200,-1842.91980257744,-195.522657322241,-2.43996840734389,0.0155598451202156
"blue - green","B","1",194.039707356917,312.96348524732,200,-423.09180733758,811.171222051415,0.62000749769123,0.535958613235323
"blue - yellow","B","1",-918.981335335119,324.842994645859,200,-1559.53800975122,-278.424660919021,-2.8290015499241,0.00514504494699611
"green - yellow","B","1",-1113.02104269204,444.954415738894,200,-1990.42497477679,-235.61711060728,-2.50142711999778,0.0131716468566455
"blue - green","A","2",-570.203098553051,391.249173944372,200,-1341.70586715384,201.299670047742,-1.45739118834312,0.146576764002462
"blue - yellow","A","2",-740.113656750566,352.846764952194,200,-1435.89086008124,-44.3364534198932,-2.09754978723084,0.0372012871402398
"green - yellow","A","2",-169.910558197515,279.444170330794,200,-720.945462389319,381.124345994288,-0.608030426959282,0.543857131251836
"blue - green","B","2",260.405100545675,305.856234283763,200,-342.711652813365,863.521853904715,0.851397066191824,0.395567069508057
"blue - yellow","B","2",56.1601777857143,239.015182895368,200,-415.152958756831,527.473314328259,0.234964896812848,0.814476370024962
"green - yellow","B","2",-204.244922759961,334.799978626183,200,-864.435736285644,455.945890765723,-0.610050584823985,0.542520818232343
"blue - green","A - B","1",583.929079311105,466.921051081869,200,-336.790778052406,1504.64893667462,1.2505948874186,0.212543434800041
"blue - yellow","A - B","1",677.728892053301,376.001687030545,200,-63.7074146822081,1419.16519878881,1.80246237033039,0.0729782736538714
"green - yellow","A - B","1",93.7998127421962,607.333713201367,200,-1103.79924280514,1291.39886828953,0.154445259176804,0.877414411790425
"blue - green","A - B","2",-830.608199098726,496.933342881399,200,-1810.50918132433,149.292783126878,-1.67146803690523,0.0961931470150197
"blue - yellow","A - B","2",-796.273834536281,429.976092657618,200,-1644.1420679007,51.5943988281402,-1.8519025781518,0.0655137497181189
"green - yellow","A - B","2",34.3343645624456,433.99878331527,200,-821.466197318646,890.134926443537,0.0791116608672703,0.937022906790586
"blue - green","A","1 - 2",1348.17188522107,403.948278620543,200,551.627800065807,2144.71597037634,3.33748639757791,0.00100803682111405
"blue - yellow","A","1 - 2",498.861213468749,424.257500575616,200,-337.730549764668,1335.45297670217,1.17584535993333,0.241054457353034
"green - yellow","A","1 - 2",-849.310671752325,447.303304672206,200,-1731.34636905441,32.7250255497645,-1.8987355176701,0.0590388927740197
"blue - green","B","1 - 2",-66.3653931887577,546.422719428011,200,-1143.85429013662,1011.12350375911,-0.121454307863019,0.903453142973101
"blue - yellow","B","1 - 2",-975.141513120833,382.767510567679,200,-1729.91932173899,-220.363704502675,-2.54760784601235,0.0115979667064832
"green - yellow","B","1 - 2",-908.776119932076,546.360736603315,200,-1986.14279318199,168.590553317841,-1.66332618551961,0.0978133399954985
"blue - green","A - B","1 - 2",1414.53727840983,679.506195251503,200,74.6215780575476,2754.45297876212,2.08171358597588,0.0386413755398857
"blue - yellow","A - B","1 - 2",1474.00272658958,573.369230112044,200,343.378106983762,2604.6273461954,2.5707740303775,0.01087369821345
"green - yellow","A - B","1 - 2",59.4654481797506,706.003616161687,200,-1332.70041640136,1451.63131276086,0.0842282487206581,0.932959207411202
