"SeqKind","Group","day","emmean","SE","df","n","lower.CL","upper.CL"
"blue","A","1",14564.5051864067,909.190298750226,200,18,12771.6762697365,16357.3341030768
"green","A","1",13786.5363997387,827.913811228076,200,18,12153.9762818837,15419.0965175937
"yellow","A","1",14805.7576296885,964.775887915381,200,18,12903.3196996551,16708.1955597219
"blue","B","1",14553.6444729241,857.478662758621,200,17,12862.7855359837,16244.5034098644
"green","B","1",14359.6047655671,829.960095189048,200,17,12723.009588097,15996.1999430373
"yellow","B","1",15472.6258082592,1064.17537157219,200,17,13374.1824117718,17571.0692047466
"blue","A","2",12360.5527670006,830.244529941317,200,21,10723.3967137167,13997.7088202846
"green","A","2",12930.7558655537,865.936350976038,200,21,11223.2192451567,14638.2924859507
"yellow","A","2",13100.6664237512,943.312879090256,200,21,11240.5513197679,14960.7815277345
"blue","B","2",12953.0277996847,788.147177417837,200,16,11398.8833568667,14507.1722425026
"green","B","2",12692.622699139,751.506904798596,200,16,11210.7290715319,14174.5163267462
"yellow","B","2",12896.867621899,876.792000787442,200,16,11167.9247866338,14625.8104571641
