Group,day,sequence,Age,fuglmayrshort_sum,MoCa_sum,BlockNumber,logRT_hat,RT_hat_ms,se
A,1,yellow,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.887802983358479,980.2454341884969,0.070055024063708
A,1,blue,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.849331652012809,943.250276531124,0.06986604004021664
A,1,green,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.821072716574835,916.9681295937876,0.07002878817430898
A,2,yellow,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.7904218830506125,889.2886585137358,0.07005187177912124
A,2,blue,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.690196748678364,804.4805170527651,0.06986360722397586
A,2,green,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.706639729501338,817.8179276570971,0.0700267243190644
B,1,yellow,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.968435820985118,1062.5594168594903,0.07171089225043291
B,1,blue,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.8954651957715845,987.78513141545,0.07152956337034867
B,1,green,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.878948687222697,971.6043625857847,0.07168949891519638
B,2,yellow,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.848918096609527,942.8602709326366,0.07176009780630398
B,2,blue,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.773861458475863,874.6829330638869,0.07155360825285711
B,2,green,67.37356252269701,10.79796634789977,23.97300568938385,61.11366662631643,6.762574849514143,864.8662316780566,0.07173373574207526
