contrast,Group,Day,Condition,log_diff_linear,SE_linear,p_linear,pct_change_linear,log_diff_flex,SE_flex,p_flex,pct_change_flex,delta_pct_points,materially_unchanged_2pp
structured_minus_random,A,1.0,,-0.0482668584732275,0.0083043494122419,6.164297072785985e-09,-0.0471205308147448,-0.047439802166515,0.0083027550389658,1.1051836334985412e-08,-0.0463321198550309,0.07884109597139019,True
structured_minus_random,A,2.0,,-0.0945421375084018,0.0082704977932872,0.0,-0.0902106024400621,-0.0943871119524485,0.0082529121324645,0.0,-0.0900695508998907,0.014105154017139687,True
structured_minus_random,B,1.0,,-0.0787094558532255,0.0082950104017675,0.0,-0.0756915621578707,-0.0786971944585767,0.0083054126092165,0.0,-0.0756802287778558,0.0011333380014910688,True
structured_minus_random,B,2.0,,-0.0789269032290667,0.0087873315503738,0.0,-0.0758925287515263,-0.0788397590342227,0.0087686167475918,0.0,-0.0758119946410058,0.008053411052050263,True
day2_minus_day1,A,,random,-0.0974088776306466,0.0101972494642838,0.0,-0.0928149973635101,-0.0970782569521981,0.010185107550464,0.0,-0.0925150136547842,0.02999837087258872,True
day2_minus_day1,A,,structured,-0.1436841566658209,0.0057793602484193,0.0,-0.1338387238736886,-0.1440255667381316,0.0057691238910732,0.0,-0.1341343895831062,-0.02956657094176085,True
day2_minus_day1,B,,random,-0.1195313178845337,0.0105475850636974,0.0,-0.1126637821093226,-0.119659060426476,0.0105582289269623,0.0,-0.1127771254538158,-0.011334334449319972,True
day2_minus_day1,B,,structured,-0.1197487652603749,0.0060626841865119,0.0,-0.1128567100647928,-0.1198016250021219,0.0060650688678913,0.0,-0.1129036029906064,-0.004689292581359916,True
B_minus_A,,1.0,random,0.0806322469266029,0.1020727313698693,0.4295575827584161,0.0839721891542772,0.0811133818787165,0.1020653408041811,0.4267763145749366,0.0844938515465403,0.05216623922630892,True
B_minus_A,,1.0,structured,0.0501896495466049,0.1017271311024666,0.621747461326527,0.0514704883695136,0.0498559895866548,0.1017200761342552,0.6240424067237569,0.051119713291529,-0.03507750779846025,True
B_minus_A,,2.0,random,0.0585098066727158,0.1021048792180714,0.5666200863187654,0.0602553832211532,0.0585325784044387,0.1020959409697226,0.5664351175071387,0.0602795273471983,0.002414412604509475,True
B_minus_A,,2.0,structured,0.074125040952051,0.101738371160902,0.4662556180968504,0.0769414588627712,0.0740799313226645,0.1017310163380323,0.466494744297798,0.0768928795283971,-0.004857933437410478,True
