session,acf1,n_blocks
1_d1,0.34537846112281845,119
1_d2,0.27061487208590884,119
3_d1,0.029000162704158436,118
3_d2,-0.05520469909018633,119
4_d1,0.22843956929491255,119
4_d2,0.18036685394535035,119
5_d1,-0.014377877964114768,119
5_d2,-0.049370729082198715,119
6_d1,-0.06014511477078478,117
6_d2,0.23944716770492372,119
8_d1,0.024923042120186402,115
8_d2,0.1083596237959422,118
9_d1,0.11452304036265669,213
9_d2,-0.02534180650361045,109
10_d1,0.2015023885629494,119
10_d2,0.2787251916888009,119
11_d1,0.23435732705624168,119
11_d2,-0.02949954999799185,119
12_d1,0.07221672747400724,117
12_d2,0.13262688731575983,119
14_d1,0.2645115268865575,119
14_d2,0.174662866564488,119
15_d1,0.2906475899939024,119
15_d2,0.26139827300940965,119
16_d1,0.28027846231328485,118
16_d2,0.14929069569591596,119
17_d1,0.35880461251539014,119
17_d2,0.1648044108623038,119
18_d1,0.22507367401954284,119
18_d2,-0.0016212972859650824,119
19_d1,0.43660838847342964,118
19_d2,-0.057199482879096215,117
20_d1,0.5230678825475873,118
20_d2,0.3198617307259987,117
21_d1,0.1260804519094352,118
21_d2,0.03439032679983511,119
22_d1,0.2086454350781744,119
22_d2,0.04055407264505681,119
23_d1,0.008224149715397212,118
23_d2,0.21510317359090972,119
24_d1,-0.02305024035898852,119
24_d2,0.024514421341251872,119
25_d1,0.27847414521411723,119
25_d2,0.12957355996197387,118
28_d1,0.21428941046154948,119
28_d2,0.281203875133949,119
29_d1,-0.16583907534409906,115
29_d2,-0.11705785014625725,119
30_d1,0.18358810324789865,118
30_d2,-0.10916694481575018,119
31_d1,0.3046253000345627,119
31_d2,0.2599232807710889,119
33_d1,0.386625728818477,108
33_d2,0.2706148720859086,119
34_d1,0.18625426701888256,119
34_d2,0.11041670164330122,119
35_d1,0.4194582178142056,118
35_d2,0.2565739277900712,119
36_d1,0.11175805924510529,119
36_d2,0.07068656590673093,119
37_d1,0.1301794005931887,119
37_d2,-0.015689500355366353,119
39_d1,0.024929563072118976,119
39_d2,0.23624700157884165,119
40_d1,0.1491339267971927,119
40_d2,0.13403200111748623,119
41_d1,0.270353890096418,119
41_d2,0.20658689299551988,119
42_d1,0.3446307193890125,119
42_d2,0.06819088959419717,119
43_d1,0.39295636416020907,119
43_d2,0.23655308213068335,119
